id,smiles,inchikey
Z1183474298,Cn1cc(-c2ncc(C(=O)Nc3ccc(F)c(F)c3F)s2)cn1,KKMXBIKJEXHVAI-UHFFFAOYSA-N
Z1211592850,CS(=O)Cc1cc(NC(=O)c2ccn(-c3ccccc3F)n2)ccc1Cl,HANGJBCZZJQKGM-UHFFFAOYSA-N
Z735679254,Cc1ccc(-n2nnc(C(=O)Nc3ccc(Cl)c(C#N)c3)c2C)cc1,CYOJKOOLIHWDPH-UHFFFAOYSA-N
Z1337402713,Cc1cccc(C)c1NC(=O)Cn1nccc1-c1ccc(F)c(Cl)c1,HKXRNXNZTGZKIQ-UHFFFAOYSA-N
Z856102874,COc1ccc(C)cc1-n1ccc(C(=O)N2CCCc3c(C(N)=O)cccc32)n1,LUKOETQGHJGXKB-UHFFFAOYSA-N
Z1229995486,COc1ccc(C)cc1-n1ccc(C(=O)N2CCc3cnccc32)n1,PIZIOCDODFNXOC-UHFFFAOYSA-N
Z1265141396,Cc1nc(-c2ccccn2)sc1C(=O)N1CCCN(C)c2ccc(Cl)cc21,HRMUHFQWEBEMFQ-UHFFFAOYSA-N
Z827576834,O=C1CN(C(=O)c2ccn(-c3cccc(F)c3)n2)c2ccccc2N1,XNFGLJRZCZYBRH-UHFFFAOYSA-N
Z1250724051,CCn1ccc2ccc(NC(=O)c3c(C)nn(-c4ccccc4)c3C)cc21,PJELZVLBWLACPK-UHFFFAOYSA-N
Z1451119093,CCc1ccc(-c2ccc(C(=O)Nc3cc(CO)ccc3C)o2)cc1,JTABLFKRUVEMMW-UHFFFAOYSA-N
Z1365459954,Cc1cc(C)n(-c2ccc(C(=O)N(C)c3cc(Cl)ccc3C#N)cn2)n1,DQESXGUIGANPAE-UHFFFAOYSA-N
Z1319983440,COc1ccc(C)nc1NC(=O)c1cccc(-n2cccn2)n1,UEVJESLADVBHDO-UHFFFAOYSA-N
Z298880408,COc1ccc(-c2cc(C(=O)Nc3cccc4c3C(=O)NC4)sc2C)cc1,SHKPETGVJQXPIG-UHFFFAOYSA-N
Z1625381927,Cn1cnc2cc(C(=O)Nc3ccc(-n4cncn4)c(C(F)(F)F)c3)cnc21,LBGNOAGGOVHYSC-UHFFFAOYSA-N
Z1524759255,O=C(Nc1ccncc1F)c1cn(-c2ccc(F)cc2)nn1,NAPHVIJLFFIHEA-UHFFFAOYSA-N
Z1318818346,COc1ncc(C)cc1NC(=O)c1ccc(-n2nc(C)cc2C)cc1,LDYBNIXCIBZGGT-UHFFFAOYSA-N
Z436984938,COc1ccccc1Oc1ccc(NC(=O)C(=O)NCCc2cccs2)cc1,FJXGSJNXUPLGEX-UHFFFAOYSA-N
Z1172597135,Cc1cc(C)c(NC(=O)c2cc(C(N)=O)n(-c3ccccc3)n2)c(C)n1,XMYQVIQBGNOINY-UHFFFAOYSA-N
Z1273642222,COc1ccc(-c2ncc(C(=O)Nc3cccnc3N(C)C)s2)cc1,CREOGDAACQZIFW-UHFFFAOYSA-N
Z52422590,NC(=O)c1ccc(C(=O)Nc2ccccc2N2CCCC2)cc1,AVODSRLYOSGVPJ-UHFFFAOYSA-N
Z1101806429,COc1ccc(C)cc1-n1ccc(C(=O)Nc2ccc(F)cn2)n1,SGMAMOLNTJAWCW-UHFFFAOYSA-N
